date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:47	1472/1472	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2003:32:01%20GMT	https://youtube-home-clone.vercel.app/robots.txt		(from )
23:21:47	87298/87298	---MCZ	200	added ('OK')	text/html	etag:W/%222aa371338ead728b1e08e3ab75594c17%22	https://youtube-home-clone.vercel.app/	D:/sites/youtbe/youtube-home-clone.vercel.app/index.html	(from )
23:21:47	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2003:32:02%20GMT	https://fonts.gstatic.com/	D:/sites/youtbe/fonts.gstatic.com/index.html	(from https://youtube-home-clone.vercel.app/)
23:21:47	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2003:32:02%20GMT	https://fonts.googleapis.com/	D:/sites/youtbe/fonts.googleapis.com/index.html	(from https://youtube-home-clone.vercel.app/)
23:21:47	400/400	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2003:32:02%20GMT	https://fonts.googleapis.com/css2?family=Roboto:wght@400;500&display=swap	D:/sites/youtbe/fonts.googleapis.com/css276c7.css	(from https://youtube-home-clone.vercel.app/)
23:21:47	9681/9681	---MCZ	200	added ('OK')	text/css	etag:W/%228bd17b2f81962ce6baa1230e3fd1c18f%22	https://youtube-home-clone.vercel.app/css/style.css	D:/sites/youtbe/youtube-home-clone.vercel.app/css/style.css	(from https://youtube-home-clone.vercel.app/)
23:21:48	29181/29181	---M--	200	added ('OK')	image/png	etag:%22684dc4261eda6391438a8258f4f1e7b8%22	https://youtube-home-clone.vercel.app/assets/YouTube-Logo.wine.png	D:/sites/youtbe/youtube-home-clone.vercel.app/assets/YouTube-Logo.wine.png	(from https://youtube-home-clone.vercel.app/)
23:21:48	720/720	---M--	200	added ('OK')	image/svg+xml	etag:%2205a2f3d560a99388759d33f5eb35fe73%22	https://youtube-home-clone.vercel.app/assets/account_circle.svg	D:/sites/youtbe/youtube-home-clone.vercel.app/assets/account_circle.svg	(from https://youtube-home-clone.vercel.app/)
23:21:49	373/373	---MC-	302	error ('Found')	text/html	date:Thu,%2019%20Oct%202023%2003:32:03%20GMT	https://source.unsplash.com/1800x900/?river	D:/sites/youtbe/source.unsplash.com/1800x900/indexa5b0.html	(from https://youtube-home-clone.vercel.app/)
23:21:50	379/379	---MC-	302	error ('Found')	text/html	date:Thu,%2019%20Oct%202023%2003:32:03%20GMT	https://source.unsplash.com/1600x910/?landscape	D:/sites/youtbe/source.unsplash.com/1600x910/index9927.html	(from https://youtube-home-clone.vercel.app/)
23:21:50	379/379	---MC-	302	error ('Found')	text/html	date:Thu,%2019%20Oct%202023%2003:32:04%20GMT	https://source.unsplash.com/1620x900/?landscape	D:/sites/youtbe/source.unsplash.com/1620x900/index9927.html	(from https://youtube-home-clone.vercel.app/)
23:21:51	290/290	---MC-	302	error ('Found')	text/html	date:Thu,%2019%20Oct%202023%2003:32:04%20GMT	https://source.unsplash.com/1600x900/	D:/sites/youtbe/source.unsplash.com/1600x900/index.html	(from https://youtube-home-clone.vercel.app/)
23:21:51	379/379	---MC-	302	error ('Found')	text/html	date:Thu,%2019%20Oct%202023%2003:32:05%20GMT	https://source.unsplash.com/1600x900/?landscape	D:/sites/youtbe/source.unsplash.com/1600x900/index9927.html	(from https://youtube-home-clone.vercel.app/)
